"Nível Territorial (Código)","Nível Territorial","Brasil, Grande Região e Unidade da Federação (Código)","Brasil, Grande Região e Unidade da Federação","Variável (Código)","Variável","Trimestre (Código)","Trimestre","Unidade de Medida (Código)","Unidade de Medida","Força de trabalho","Força de trabalho - desocupada","Força de trabalho - ocupada","Total","PercentualDesocupapdo"
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201201","1º trimestre 2012","1572","Mil pessoas",95191,7559,87632,155670,0.0794087676355958
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201202","2º trimestre 2012","1572","Mil pessoas",96375,7245,89129,156215,0.0751750972762646
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201203","3º trimestre 2012","1572","Mil pessoas",96454,6815,89639,156774,0.0706554419723392
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201204","4º trimestre 2012","1572","Mil pessoas",96468,6611,89857,157426,0.0685304971596799
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201301","1º trimestre 2013","1572","Mil pessoas",96702,7704,88999,158069,0.0796674319042005
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201302","2º trimestre 2013","1572","Mil pessoas",97323,7225,90099,158288,0.0742373334155338
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201303","3º trimestre 2013","1572","Mil pessoas",97460,6753,90707,158873,0.0692899651138929
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201304","4º trimestre 2013","1572","Mil pessoas",97416,6013,91403,159587,0.0617249733103392
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201401","1º trimestre 2014","1572","Mil pessoas",97783,7001,90782,159959,0.0715973124162687
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201402","2º trimestre 2014","1572","Mil pessoas",98300,6723,91577,160903,0.0683926754832146
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201403","3º trimestre 2014","1572","Mil pessoas",98456,6662,91795,161615,0.0676647436418299
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201404","4º trimestre 2014","1572","Mil pessoas",98805,6409,92396,162319,0.0648651384039269
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201501","1º trimestre 2015","1572","Mil pessoas",99438,7883,91555,162978,0.0792755284700014
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201502","2º trimestre 2015","1572","Mil pessoas",100050,8300,91750,163286,0.0829585207396302
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201503","3º trimestre 2015","1572","Mil pessoas",100557,8922,91635,163693,0.0887257973089889
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201504","4º trimestre 2015","1572","Mil pessoas",100818,9019,91800,164151,0.0894582316649805
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201601","1º trimestre 2016","1572","Mil pessoas",101239,11023,90216,164775,0.108880964845563
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201602","2º trimestre 2016","1572","Mil pessoas",101902,11523,90379,165491,0.113079232988558
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201603","3º trimestre 2016","1572","Mil pessoas",101391,11958,89433,165735,0.117939462082433
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201604","4º trimestre 2016","1572","Mil pessoas",102150,12278,89871,166401,0.120195790504161
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201701","1º trimestre 2017","1572","Mil pessoas",102684,14105,88579,166807,0.137363172451404
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201702","2º trimestre 2017","1572","Mil pessoas",103298,13426,89872,167432,0.129973474801061
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201703","3º trimestre 2017","1572","Mil pessoas",103859,12906,90953,168039,0.124264628005276
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201704","4º trimestre 2017","1572","Mil pessoas",104037,12267,91770,168396,0.117909974336054
"1","Brasil","1","Brasil","1641","Pessoas de 14 anos ou mais de idade","201801","1º trimestre 2018","1572","Mil pessoas",103907,13634,90272,168508,0.131213488985343
