"","ga_pais","ga_estado","ga_cidade","player","device","canal","programa","qualidade","mes"
"482","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"1605","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","Multishow OTT","Multishow Ao Vivo",4783000,202012
"2247","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","GloboNews OTT","GloboNews Ao Vivo",4783000,202012
"3393","Brazil","State of Ceara","Juazeiro do Norte","ios","desktop","Globoplay OTT","Programas Institucionais",5189000,202012
"3625","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",3164001,202012
"3803","Brazil","State of Rio Grande do Sul","Gravatai","ios","desktop","Rede Globo","A Força do Querer - Edição Especial",5056000,202012
"3925","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Tamanho Família",940000,202012
"4042","Brazil","State of Rio de Janeiro","Itaborai","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"4453","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Rede Globo","Cinema",2061000,202012
"4587","Brazil","State of Rio de Janeiro","Macae","ios","desktop","Rede Globo","A Força do Querer",5087000,202012
"4685","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","One Tree Hill: Lances da Vida",4916000,202012
"4726","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Simples Assim",5186000,202012
"4785","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","GNT OTT","GNT Ao Vivo",4783000,202012
"4836","Brazil","State of Acre","Rio Branco","ios","desktop","Globoplay OTT","The Big Bang Theory",1221002,202012
"4843","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Office",2085000,202012
"4908","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","Globoplay OTT","Dexter",4786000,202012
"4945","Brazil","State of Santa Catarina","Palhoca","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"4973","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",1350001,202012
"5011","Brazil","State of Rio Grande do Sul","Porto Alegre","ios","desktop","Som Livre OTT","Tardezinha no Maraca",5080000,202012
"5034","Brazil","State of Maranhao","Sao Luis","ios","desktop","Viva OTT","Escolinha do Professor Raimundo",2216000,202012
"5120","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"5234","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Encontro com Fátima Bernardes",3513000,202012
"5472","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Verdades Secretas",2217000,202012
"5496","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",701000,202012
"5497","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Globoplay Ao Vivo",410000,202012
"5682","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Handmaid's Tale - O Conto da Aia",756000,202012
"5749","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Multishow OTT","Multishow Ao Vivo",1417000,202012
"6035","Brazil","State of Minas Gerais","Contagem","ios","desktop","Rede Globo","Globoplay Ao Vivo",1049000,202012
"6089","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","GloboNews OTT","GloboNews Ao Vivo",4783000,202012
"6116","Brazil","State of Rio de Janeiro","Marica","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5265000,202012
"6122","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Office",2086002,202012
"6183","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","GloboNews OTT","GloboNews Ao Vivo",554000,202012
"6233","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",2217001,202012
"6244","Brazil","State of Minas Gerais","Timoteo","ios","desktop","Globoplay OTT","Filho Pródigo",1349000,202012
"6326","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",4910000,202012
"6343","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Globoplay OTT","Hospital New Amsterdam",3165000,202012
"6421","Brazil","State of Amazonas","Manaus","ios","desktop","Rede Globo","Verdades Secretas",2219000,202012
"6740","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"7002","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","Que história é essa, Porchat?",5077000,202012
"7003","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","GNT Ao Vivo",3189000,202012
"7100","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Jornal da Globo",2230000,202012
"7101","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Cinema",1221000,202012
"7198","Brazil","State of Pernambuco","Recife","ios","desktop","Rede Globo","Cinema",2088000,202012
"7293","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",2087001,202012
"7384","Brazil","State of Sao Paulo","Santo Andre","ios","desktop","Rede Globo","As Five",4989000,202012
"7431","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",488001,202012
"7457","Brazil","State of Espirito Santo","Vila Velha","ios","desktop","Rede Globo","The Voice Brasil",3522000,202012
