"","canal","qualidade","percentual","impressoes"
"1","Rede Globo","0.25 Mbps",13.07,1310
"2","Rede Globo","0.75 Mbps",13.3,1333
"3","Rede Globo","1.25 Mbps",13.28,1331
"4","Rede Globo","1.75 Mbps",4.42,443
"5","Rede Globo","2.25 Mbps",29.99,3005
"6","Rede Globo","2.75 Mbps",0.2,20
"7","Rede Globo","3.25 Mbps",10.39,1041
"8","Rede Globo","3.75 Mbps",5.22,523
"9","Rede Globo","4.25 Mbps",0.25,25
"10","Rede Globo","4.75 Mbps",1.93,193
"11","Rede Globo","5.25 Mbps",7.86,788
"12","Rede Globo","5.75 Mbps",0,0
"13","Rede Globo","6.25 Mbps",0.08,8
"14","Multishow OTT","0.25 Mbps",2.02,7
"15","Multishow OTT","0.75 Mbps",8.07,28
"16","Multishow OTT","1.25 Mbps",9.8,34
"17","Multishow OTT","1.75 Mbps",0,0
"18","Multishow OTT","2.25 Mbps",21.33,74
"19","Multishow OTT","2.75 Mbps",0,0
"20","Multishow OTT","3.25 Mbps",19.31,67
"21","Multishow OTT","3.75 Mbps",0,0
"22","Multishow OTT","4.25 Mbps",0,0
"23","Multishow OTT","4.75 Mbps",14.12,49
"24","Multishow OTT","5.25 Mbps",25.36,88
"25","Multishow OTT","5.75 Mbps",0,0
"26","Multishow OTT","6.25 Mbps",0,0
"27","GloboNews OTT","0.25 Mbps",8.79,21
"28","GloboNews OTT","0.75 Mbps",13.39,32
"29","GloboNews OTT","1.25 Mbps",8.79,21
"30","GloboNews OTT","1.75 Mbps",0,0
"31","GloboNews OTT","2.25 Mbps",9.62,23
"32","GloboNews OTT","2.75 Mbps",0,0
"33","GloboNews OTT","3.25 Mbps",15.06,36
"34","GloboNews OTT","3.75 Mbps",0,0
"35","GloboNews OTT","4.25 Mbps",0,0
"36","GloboNews OTT","4.75 Mbps",44.35,106
"37","GloboNews OTT","5.25 Mbps",0,0
"38","GloboNews OTT","5.75 Mbps",0,0
"39","GloboNews OTT","6.25 Mbps",0,0
"40","Globoplay OTT","0.25 Mbps",0.42,31
"41","Globoplay OTT","0.75 Mbps",7.73,569
"42","Globoplay OTT","1.25 Mbps",14.02,1032
"43","Globoplay OTT","1.75 Mbps",0,0
"44","Globoplay OTT","2.25 Mbps",19.71,1451
"45","Globoplay OTT","2.75 Mbps",0,0
"46","Globoplay OTT","3.25 Mbps",20.92,1540
"47","Globoplay OTT","3.75 Mbps",1.41,104
"48","Globoplay OTT","4.25 Mbps",0,0
"49","Globoplay OTT","4.75 Mbps",32.23,2373
"50","Globoplay OTT","5.25 Mbps",3.48,256
"51","Globoplay OTT","5.75 Mbps",0,0
"52","Globoplay OTT","6.25 Mbps",0.1,7
"53","GNT OTT","0.25 Mbps",6.45,10
"54","GNT OTT","0.75 Mbps",14.19,22
"55","GNT OTT","1.25 Mbps",11.61,18
"56","GNT OTT","1.75 Mbps",0,0
"57","GNT OTT","2.25 Mbps",14.19,22
"58","GNT OTT","2.75 Mbps",0,0
"59","GNT OTT","3.25 Mbps",18.71,29
"60","GNT OTT","3.75 Mbps",0,0
"61","GNT OTT","4.25 Mbps",0,0
"62","GNT OTT","4.75 Mbps",29.68,46
"63","GNT OTT","5.25 Mbps",5.16,8
"64","GNT OTT","5.75 Mbps",0,0
"65","GNT OTT","6.25 Mbps",0,0
"66","Som Livre OTT","0.25 Mbps",0,0
"67","Som Livre OTT","0.75 Mbps",16,4
"68","Som Livre OTT","1.25 Mbps",8,2
"69","Som Livre OTT","1.75 Mbps",0,0
"70","Som Livre OTT","2.25 Mbps",4,1
"71","Som Livre OTT","2.75 Mbps",0,0
"72","Som Livre OTT","3.25 Mbps",36,9
"73","Som Livre OTT","3.75 Mbps",0,0
"74","Som Livre OTT","4.25 Mbps",0,0
"75","Som Livre OTT","4.75 Mbps",0,0
"76","Som Livre OTT","5.25 Mbps",36,9
"77","Som Livre OTT","5.75 Mbps",0,0
"78","Som Livre OTT","6.25 Mbps",0,0
"79","Viva OTT","0.25 Mbps",9.09,13
"80","Viva OTT","0.75 Mbps",9.79,14
"81","Viva OTT","1.25 Mbps",16.08,23
"82","Viva OTT","1.75 Mbps",0,0
"83","Viva OTT","2.25 Mbps",12.59,18
"84","Viva OTT","2.75 Mbps",0,0
"85","Viva OTT","3.25 Mbps",9.09,13
"86","Viva OTT","3.75 Mbps",1.4,2
"87","Viva OTT","4.25 Mbps",0,0
"88","Viva OTT","4.75 Mbps",33.57,48
