"","device","player","player_dev","qualidade","percentual","impressoes"
"1","tv","tizen_lte_2017","tizen_lte_2017_tv","0.25 Mbps",20,3
"2","tv","tizen_lte_2017","tizen_lte_2017_tv","0.75 Mbps",13.33,2
"3","tv","tizen_lte_2017","tizen_lte_2017_tv","1.25 Mbps",13.33,2
"4","tv","tizen_lte_2017","tizen_lte_2017_tv","1.75 Mbps",6.67,1
"5","tv","tizen_lte_2017","tizen_lte_2017_tv","2.25 Mbps",26.67,4
"6","tv","tizen_lte_2017","tizen_lte_2017_tv","2.75 Mbps",0,0
"7","tv","tizen_lte_2017","tizen_lte_2017_tv","3.25 Mbps",6.67,1
"8","tv","tizen_lte_2017","tizen_lte_2017_tv","3.75 Mbps",0,0
"9","tv","tizen_lte_2017","tizen_lte_2017_tv","4.25 Mbps",0,0
"10","tv","tizen_lte_2017","tizen_lte_2017_tv","4.75 Mbps",6.67,1
"11","tv","tizen_lte_2017","tizen_lte_2017_tv","5.25 Mbps",6.67,1
"12","tv","tizen_lte_2017","tizen_lte_2017_tv","5.75 Mbps",0,0
"13","tv","tizen_lte_2017","tizen_lte_2017_tv","6.25 Mbps",0,0
"14","tv","panasonic_4k","panasonic_4k_tv","0.25 Mbps",0,0
"15","tv","panasonic_4k","panasonic_4k_tv","0.75 Mbps",0,0
"16","tv","panasonic_4k","panasonic_4k_tv","1.25 Mbps",22.22,2
"17","tv","panasonic_4k","panasonic_4k_tv","1.75 Mbps",0,0
"18","tv","panasonic_4k","panasonic_4k_tv","2.25 Mbps",22.22,2
"19","tv","panasonic_4k","panasonic_4k_tv","2.75 Mbps",0,0
"20","tv","panasonic_4k","panasonic_4k_tv","3.25 Mbps",11.11,1
"21","tv","panasonic_4k","panasonic_4k_tv","3.75 Mbps",0,0
"22","tv","panasonic_4k","panasonic_4k_tv","4.25 Mbps",0,0
"23","tv","panasonic_4k","panasonic_4k_tv","4.75 Mbps",44.44,4
"24","tv","panasonic_4k","panasonic_4k_tv","5.25 Mbps",0,0
"25","tv","panasonic_4k","panasonic_4k_tv","5.75 Mbps",0,0
"26","tv","panasonic_4k","panasonic_4k_tv","6.25 Mbps",0,0
"27","tv","mirakulo_teleidea","mirakulo_teleidea_tv","0.25 Mbps",0,0
"28","tv","mirakulo_teleidea","mirakulo_teleidea_tv","0.75 Mbps",0,0
"29","tv","mirakulo_teleidea","mirakulo_teleidea_tv","1.25 Mbps",0,0
