"","device","qualidade","percentual","impressoes"
"1","tv","0.25 Mbps",3.12,238
"2","tv","0.75 Mbps",11.05,842
"3","tv","1.25 Mbps",14.34,1092
"4","tv","1.75 Mbps",0.96,73
"5","tv","2.25 Mbps",25.46,1939
"6","tv","2.75 Mbps",0.07,5
"7","tv","3.25 Mbps",17.16,1307
"8","tv","3.75 Mbps",3.32,253
"9","tv","4.25 Mbps",0.09,7
"10","tv","4.75 Mbps",17.76,1353
"11","tv","5.25 Mbps",6.63,505
"12","tv","5.75 Mbps",0,0
"13","tv","6.25 Mbps",0.04,3
"14","mobile","0.25 Mbps",3.14,599
"15","mobile","0.75 Mbps",11.39,2176
"16","mobile","1.25 Mbps",14.32,2735
"17","mobile","1.75 Mbps",0.93,177
"18","mobile","2.25 Mbps",28.35,5415
"19","mobile","2.75 Mbps",0.06,11
"20","mobile","3.25 Mbps",15.94,3045
"21","mobile","3.75 Mbps",3.74,714
"22","mobile","4.25 Mbps",0.09,18
"23","mobile","4.75 Mbps",15.54,2969
"24","mobile","5.25 Mbps",6.46,1233
"25","mobile","5.75 Mbps",0,0
"26","mobile","6.25 Mbps",0.04,8
"27","desktop","0.25 Mbps",2.16,251
"28","desktop","0.75 Mbps",10.69,1243
"29","desktop","1.25 Mbps",14.26,1658
"30","desktop","1.75 Mbps",0.77,89
"31","desktop","2.25 Mbps",26.52,3084
"32","desktop","2.75 Mbps",0.15,17
"33","desktop","3.25 Mbps",17.94,2086
"34","desktop","3.75 Mbps",4.07,473
"35","desktop","4.25 Mbps",0.1,12
"36","desktop","4.75 Mbps",17.26,2007
"37","desktop","5.25 Mbps",5.97,694
"38","desktop","5.75 Mbps",0,0
"39","desktop","6.25 Mbps",0.11,13
