"","canal","qualidade","percentual","impressoes"
"1","Rede Globo","0.25 Mbps",4.8,932
"2","Rede Globo","0.75 Mbps",13.92,2701
"3","Rede Globo","1.25 Mbps",14.46,2806
"4","Rede Globo","1.75 Mbps",1.6,310
"5","Rede Globo","2.25 Mbps",33.17,6436
"6","Rede Globo","2.75 Mbps",0.17,33
"7","Rede Globo","3.25 Mbps",12.93,2508
"8","Rede Globo","3.75 Mbps",6.62,1284
"9","Rede Globo","4.25 Mbps",0.19,37
"10","Rede Globo","4.75 Mbps",2.21,428
"11","Rede Globo","5.25 Mbps",9.86,1913
"12","Rede Globo","5.75 Mbps",0,0
"13","Rede Globo","6.25 Mbps",0.07,14
"14","Globoplay OTT","0.25 Mbps",0.57,96
"15","Globoplay OTT","0.75 Mbps",7.88,1318
"16","Globoplay OTT","1.25 Mbps",14.48,2421
"17","Globoplay OTT","1.75 Mbps",0,0
"18","Globoplay OTT","2.25 Mbps",20.26,3386
"19","Globoplay OTT","2.75 Mbps",0,0
"20","Globoplay OTT","3.25 Mbps",21.03,3515
"21","Globoplay OTT","3.75 Mbps",0.63,106
"22","Globoplay OTT","4.25 Mbps",0,0
"23","Globoplay OTT","4.75 Mbps",33.29,5565
"24","Globoplay OTT","5.25 Mbps",1.79,299
"25","Globoplay OTT","5.75 Mbps",0,0
"26","Globoplay OTT","6.25 Mbps",0.06,10
"27","GloboNews OTT","0.25 Mbps",8.21,16
"28","GloboNews OTT","0.75 Mbps",13.33,26
"29","GloboNews OTT","1.25 Mbps",7.69,15
"30","GloboNews OTT","1.75 Mbps",0,0
"31","GloboNews OTT","2.25 Mbps",9.74,19
"32","GloboNews OTT","2.75 Mbps",0,0
"33","GloboNews OTT","3.25 Mbps",16.41,32
"34","GloboNews OTT","3.75 Mbps",0,0
"35","GloboNews OTT","4.25 Mbps",0,0
"36","GloboNews OTT","4.75 Mbps",44.62,87
"37","GloboNews OTT","5.25 Mbps",0,0
"38","GloboNews OTT","5.75 Mbps",0,0
"39","GloboNews OTT","6.25 Mbps",0,0
"40","Multishow OTT","0.25 Mbps",1.32,7
"41","Multishow OTT","0.75 Mbps",8.85,47
"42","Multishow OTT","1.25 Mbps",12.62,67
"43","Multishow OTT","1.75 Mbps",0,0
"44","Multishow OTT","2.25 Mbps",24.67,131
"45","Multishow OTT","2.75 Mbps",0,0
"46","Multishow OTT","3.25 Mbps",21.85,116
"47","Multishow OTT","3.75 Mbps",0,0
"48","Multishow OTT","4.25 Mbps",0,0
"49","Multishow OTT","4.75 Mbps",8.47,45
"50","Multishow OTT","5.25 Mbps",22.22,118
"51","Multishow OTT","5.75 Mbps",0,0
"52","Multishow OTT","6.25 Mbps",0,0
"53","Megapix OTT","0.25 Mbps",0,0
"54","Megapix OTT","0.75 Mbps",0,0
"55","Megapix OTT","1.25 Mbps",0,0
"56","Megapix OTT","1.75 Mbps",20,5
"57","Megapix OTT","2.25 Mbps",32,8
"58","Megapix OTT","2.75 Mbps",0,0
"59","Megapix OTT","3.25 Mbps",0,0
"60","Megapix OTT","3.75 Mbps",48,12
"61","Megapix OTT","4.25 Mbps",0,0
"62","Megapix OTT","4.75 Mbps",0,0
"63","Megapix OTT","5.25 Mbps",0,0
"64","Megapix OTT","5.75 Mbps",0,0
"65","Megapix OTT","6.25 Mbps",0,0
"66","SporTV","0.25 Mbps",0,0
"67","SporTV","0.75 Mbps",7.41,2
"68","SporTV","1.25 Mbps",11.11,3
"69","SporTV","1.75 Mbps",0,0
"70","SporTV","2.25 Mbps",81.48,22
"71","SporTV","2.75 Mbps",0,0
"72","SporTV","3.25 Mbps",0,0
"73","SporTV","3.75 Mbps",0,0
"74","SporTV","4.25 Mbps",0,0
"75","SporTV","4.75 Mbps",0,0
"76","SporTV","5.25 Mbps",0,0
"77","SporTV","5.75 Mbps",0,0
"78","SporTV","6.25 Mbps",0,0
"79","Gloob OTT","0.25 Mbps",0,0
"80","Gloob OTT","0.75 Mbps",4.68,13
"81","Gloob OTT","1.25 Mbps",14.03,39
"82","Gloob OTT","1.75 Mbps",0,0
"83","Gloob OTT","2.25 Mbps",24.46,68
"84","Gloob OTT","2.75 Mbps",0,0
"85","Gloob OTT","3.25 Mbps",48.2,134
"86","Gloob OTT","3.75 Mbps",0,0
"87","Gloob OTT","4.25 Mbps",0,0
"88","Gloob OTT","4.75 Mbps",5.04,14
"89","Gloob OTT","5.25 Mbps",3.6,10
"90","Gloob OTT","5.75 Mbps",0,0
"91","Gloob OTT","6.25 Mbps",0,0
"92","Viva OTT","0.25 Mbps",8.21,11
"93","Viva OTT","0.75 Mbps",9.7,13
"94","Viva OTT","1.25 Mbps",15.67,21
"95","Viva OTT","1.75 Mbps",0,0
"96","Viva OTT","2.25 Mbps",14.18,19
"97","Viva OTT","2.75 Mbps",0,0
"98","Viva OTT","3.25 Mbps",5.97,8
"99","Viva OTT","3.75 Mbps",0.75,1
"100","Viva OTT","4.25 Mbps",0,0
"101","Viva OTT","4.75 Mbps",35.82,48
"102","Viva OTT","5.25 Mbps",9.7,13
"103","Viva OTT","5.75 Mbps",0,0
"104","Viva OTT","6.25 Mbps",0,0
"105","Mais Globosat OTT","0.25 Mbps",2.04,1
"106","Mais Globosat OTT","0.75 Mbps",6.12,3
"107","Mais Globosat OTT","1.25 Mbps",12.24,6
